Source_Dataset,Original_Degree,Original_CGPA,ML_Degree_Code,ML_Spec_Code,ML_CGPA_Norm,ML_YoG,ML_Cert_Count,job_role
Academic Performance (V2),ICE,2.6210503234273594,1,2,0.33291215401053087,2013.0791530330453,0.017274457895746775,IT Support
Academic Performance (V2),CIS,2.279382345350396,1,1,0.30274163767591333,2010.2116172261528,0.10332435744489239,IT Support
Academic Performance (V2),BLD,2.5538323981461017,2,6,0.636914049433464,2012.985071493283,-0.07290611737831261,IT Support
Academic Performance (V2),EEE,3.723495061224524,2,4,0.8498182946870215,2012.1493180489465,0.20577900490835163,Data Analyst
Academic Performance (V2),CVE,3.910187690187985,2,6,0.7931991037838195,2013.0283598863623,-0.06544743524592078,Data Analyst
Academic Performance (V2),PHYE,2.6056095736815066,1,2,0.4770692345623902,2009.9584504915215,0.1683361522447203,IT Support
Academic Performance (V2),BCH,4.900852253139702,5,9,1.1105662863051944,2013.9541218826084,0.07160738858489486,Data Analyst
Academic Performance (V2),PET,4.783384128396995,2,9,0.8494362768637436,2012.9557613831728,0.034621012880192065,Data Analyst
Academic Performance (V2),EEE,3.0386089101784743,2,4,0.8096200310167323,2011.8669210663904,-0.03600026824253157,IT Support
Academic Performance (V2),MIS,3.1212322936686054,7,7,0.532416902779111,2011.2193550046136,-0.0035694716029898046,QA Engineer
Academic Performance (V2),ICE,3.6911165649104305,1,2,0.7031323649179778,2012.0031590763328,-0.06921757853997157,Data Analyst
Academic Performance (V2),CHE,2.54578342972575,2,0,0.5833926331577386,2013.0338650605647,-0.08072023736119546,IT Support
Academic Performance (V2),MCB,3.6320232536660497,5,9,0.722571658547491,2011.01651125127,0.1507411003885799,Data Analyst
Academic Performance (V2),CIS,4.424926863002602,1,1,1.0103383195734665,2012.1096209597335,-0.11692570071192161,Data Analyst
Academic Performance (V2),PET,4.480284930516296,2,9,0.7604675391564564,2010.0080879102322,0.08096446595131089,Data Analyst
Academic Performance (V2),ICE,2.6411005847929823,1,2,0.5210264275147146,2013.098807912951,-0.22551763380076872,IT Support
Academic Performance (V2),CIS,3.2601358394954505,2,0,0.8272910204081354,2014.0432572822622,-0.0731891459188686,QA Engineer
Academic Performance (V2),CHE,4.0256243277791155,2,0,0.7746823899447306,2011.9258690911206,-0.18748775671820767,Data Analyst
Academic Performance (V2),CIS,3.6987240928958784,1,1,0.822185188293167,2013.9674627119552,0.01638746582546001,Data Analyst
Academic Performance (V2),CIS,4.73931029110907,1,1,0.8187993958065345,2013.0580690629401,-0.08205653780346685,Data Analyst
Academic Performance (V2),MIS,4.120844265643952,7,7,0.8061593442028426,2011.033467945576,0.016146564990490532,Data Analyst
Academic Performance (V2),PET,3.0015151445534083,2,9,0.4321084777031095,2011.8993158794738,0.010698124328536979,QA Engineer
Academic Performance (V2),EEE,2.5736876729770466,2,4,0.592239697673913,2010.9580835278603,-0.04896495623104892,IT Support
Academic Performance (V2),CEN,2.2260391530107735,1,1,0.2588458606221455,2011.1315526408637,-0.03771321636855534,IT Support
Academic Performance (V2),CEN,4.195275166276471,1,1,0.8824508566669687,2013.9618887151876,-0.035422213049518925,Data Analyst
Academic Performance (V2),CIS,3.665275032090107,1,1,0.7779920914791174,2012.9931715506455,0.13789794028950245,Data Analyst
Academic Performance (V2),CHE,3.052275001773556,2,0,0.6793119342122003,2012.0226906953174,0.09810902989268049,QA Engineer
Academic Performance (V2),BLD,3.61071086319622,2,6,0.6572659904977285,2010.1129707437851,-0.052187960562170455,QA Engineer
Academic Performance (V2),CIS,3.1088520012129885,1,1,0.3542444764005538,2009.998889826984,0.2066918458265231,QA Engineer
Academic Performance (V2),EEE,4.114423581560288,2,4,0.824788732285627,2012.051866265712,0.021878852123403,Data Analyst
Academic Performance (V2),MAT,3.0068824704908264,5,9,0.5583269993149504,2013.062964157275,0.05491919380684182,IT Support
Academic Performance (V2),BLD,3.7078461009880788,2,6,0.7016169572601175,2012.0691589235112,0.14091941246360215,Data Analyst
Academic Performance (V2),MIS,4.535463623672811,7,7,0.861371738786005,2012.210670352605,0.045836949452464665,Data Analyst
Academic Performance (V2),MIS,1.7256300342465103,7,7,0.6298083475746455,2009.9375812739243,-0.001161237049040076,IT Support
Academic Performance (V2),CEN,3.2394071034340186,1,1,0.5418098267253946,2009.925759453883,-0.03389346199775233,QA Engineer
Academic Performance (V2),CIS,3.233188295536074,1,1,0.5723227537007664,2011.904242589078,0.16950419996101485,QA Engineer
Academic Performance (V2),PET,4.480312911488974,2,9,0.8493178207076961,2012.9132952437947,-0.00024767126108973944,Data Analyst
Academic Performance (V2),BLD,3.0294649377392284,2,6,0.564840815714339,2013.0377983953542,0.02143848812947152,QA Engineer
Academic Performance (V2),CVE,2.6222604058614163,2,6,0.5411340246590954,2011.986447623656,-0.18052110745112465,IT Support
Academic Performance (V2),CVE,3.319007141163943,2,6,0.6806867562575131,2013.1658644140562,0.0712386737974925,QA Engineer
Academic Performance (V2),CHE,4.013136975466201,2,0,0.9369280629228297,2011.0357064663656,-0.09927051767697044,Data Analyst
Academic Performance (V2),ICE,2.8855788688005575,1,2,0.4382122786323863,2012.85477639549,0.05785295602150778,QA Engineer
Academic Performance (V2),CHE,4.082082703278486,2,0,0.8006979814574017,2013.930183326724,0.14155432705711302,Data Analyst
