Source_Dataset,Original_Degree,Original_CGPA,ML_Degree_Code,ML_Spec_Code,ML_CGPA_Norm,ML_YoG,ML_Cert_Count
Academic Performance (V2),ICE,3.23,1,2,0.65,2010,0
Academic Performance (V2),BCH,3.58,5,9,0.72,2010,0
Academic Performance (V2),BCH,2.21,5,9,0.44,2010,0
Academic Performance (V2),BCH,2.70,5,9,0.54,2010,0
Academic Performance (V2),BCH,3.88,5,9,0.78,2010,0
Academic Performance (V2),BCH,2.97,5,9,0.59,2010,0
Academic Performance (V2),BCH,3.34,5,9,0.67,2010,0
Academic Performance (V2),BCH,2.56,5,9,0.51,2010,0
Academic Performance (V2),BCH,3.76,5,9,0.75,2010,0
Academic Performance (V2),BCH,3.96,5,9,0.79,2010,0
Academic Performance (V2),BCH,3.99,5,9,0.8,2010,0
Academic Performance (V2),BCH,3.02,5,9,0.6,2010,0
Academic Performance (V2),BCH,4.99,5,9,1,2010,0
Academic Performance (V2),BCH,3.30,5,9,0.66,2010,0
Academic Performance (V2),BCH,4.44,5,9,0.89,2010,0
Academic Performance (V2),BCH,4.22,5,9,0.84,2010,0
Academic Performance (V2),BCH,3.61,5,9,0.72,2010,0
Academic Performance (V2),BCH,3.92,5,9,0.78,2010,0
Academic Performance (V2),BCH,3.29,5,9,0.66,2010,0
Academic Performance (V2),BCH,3.77,5,9,0.75,2011,0
Academic Performance (V2),BCH,3.86,5,9,0.77,2011,0
Academic Performance (V2),BCH,4.40,5,9,0.88,2011,0
Academic Performance (V2),BCH,3.41,5,9,0.68,2011,0
Academic Performance (V2),BCH,4.14,5,9,0.83,2011,0
Academic Performance (V2),BCH,4.59,5,9,0.92,2011,0
Academic Performance (V2),BCH,3.98,5,9,0.8,2011,0
Academic Performance (V2),BCH,2.69,5,9,0.54,2011,0
Academic Performance (V2),BCH,4.05,5,9,0.81,2011,0
Academic Performance (V2),BCH,3.64,5,9,0.73,2011,0
Academic Performance (V2),BCH,4.27,5,9,0.85,2011,0
Academic Performance (V2),BCH,2.63,5,9,0.53,2011,0
Academic Performance (V2),BCH,4.58,5,9,0.92,2011,0
Academic Performance (V2),BCH,2.70,5,9,0.54,2011,0
Academic Performance (V2),BCH,2.83,5,9,0.57,2011,0
Academic Performance (V2),BCH,3.90,5,9,0.78,2011,0
Academic Performance (V2),BCH,4.03,5,9,0.81,2011,0
Academic Performance (V2),BCH,3.89,5,9,0.78,2011,0
Academic Performance (V2),BCH,3.76,5,9,0.75,2011,0
Academic Performance (V2),BCH,3.56,5,9,0.71,2011,0
Academic Performance (V2),BCH,3.70,5,9,0.74,2011,0
Academic Performance (V2),BCH,3.41,5,9,0.68,2011,0
Academic Performance (V2),BCH,2.83,5,9,0.57,2011,0
Academic Performance (V2),BCH,4.17,5,9,0.83,2011,0
Academic Performance (V2),BCH,3.26,5,9,0.65,2011,0
Academic Performance (V2),BCH,2.62,5,9,0.52,2011,0
Academic Performance (V2),BCH,2.72,5,9,0.54,2011,0
Academic Performance (V2),BCH,4.70,5,9,0.94,2011,0
Academic Performance (V2),BCH,3.31,5,9,0.66,2011,0
Academic Performance (V2),BCH,4.01,5,9,0.8,2011,0
Academic Performance (V2),BCH,2.49,5,9,0.5,2011,0
Academic Performance (V2),BCH,3.21,5,9,0.64,2011,0
Academic Performance (V2),BCH,2.97,5,9,0.59,2011,0
Academic Performance (V2),BCH,4.02,5,9,0.8,2011,0
Academic Performance (V2),BCH,3.85,5,9,0.77,2011,0
Academic Performance (V2),BCH,3.24,5,9,0.65,2011,0
Academic Performance (V2),BCH,2.93,5,9,0.59,2011,0
Academic Performance (V2),BCH,2.84,5,9,0.57,2011,0
Academic Performance (V2),BCH,3.66,5,9,0.73,2011,0
Academic Performance (V2),BCH,2.92,5,9,0.58,2011,0
Academic Performance (V2),BCH,2.89,5,9,0.58,2011,0
Academic Performance (V2),BCH,4.18,5,9,0.84,2011,0
Academic Performance (V2),BCH,4.10,5,9,0.82,2011,0
Academic Performance (V2),BCH,3.54,5,9,0.71,2012,0
Academic Performance (V2),BCH,4.65,5,9,0.93,2012,0
Academic Performance (V2),BCH,2.51,5,9,0.5,2012,0
Academic Performance (V2),BCH,3.18,5,9,0.64,2012,0
Academic Performance (V2),BCH,2.73,5,9,0.55,2012,0
Academic Performance (V2),BCH,2.99,5,9,0.6,2012,0
Academic Performance (V2),BCH,2.70,5,9,0.54,2012,0
Academic Performance (V2),BCH,2.72,5,9,0.54,2012,0
Academic Performance (V2),BCH,2.18,5,9,0.44,2013,0
Academic Performance (V2),BCH,2.78,5,9,0.56,2012,0
Academic Performance (V2),BCH,2.48,5,9,0.5,2012,0
Academic Performance (V2),BCH,3.35,5,9,0.67,2012,0
Academic Performance (V2),BCH,4.24,5,9,0.85,2012,0
Academic Performance (V2),BCH,2.57,5,9,0.51,2012,0
Academic Performance (V2),BCH,4.65,5,9,0.93,2012,0
Academic Performance (V2),BCH,4.36,5,9,0.87,2012,0
Academic Performance (V2),BCH,3.29,5,9,0.66,2012,0
Academic Performance (V2),BCH,3.42,5,9,0.68,2012,0
Academic Performance (V2),BCH,2.50,5,9,0.5,2012,0
